date,AAL,DAL,UAL,LUV,ALK
2022-08-26,1.6471218335376479,1.3719528759661117,1.6064202669634733,1.0025347974434469,1.2110238227132482
2022-08-29,1.6475189122221292,1.3721771129229876,1.606943009747188,1.0010733862883636,1.2090115790973361
2022-08-30,1.6507734956707882,1.375647833595153,1.6080562997506278,1.003779619947975,1.2078243943436662
2022-08-31,1.6534565495852633,1.377668378682373,1.6106990151747964,1.0050066376902056,1.2113904043529964
2022-09-01,1.653029341148404,1.3774161362312771,1.6108354633786268,1.0047428050163834,1.211395211833981
2022-09-02,1.6477847987098304,1.3746877512955833,1.6055726207631722,1.0016339918198534,1.208209220947927
2022-09-06,1.6460488163899312,1.3737466079785319,1.6024807366610945,1.0013772482217564,1.20741871010674
2022-09-07,1.6558053266717354,1.3778200674638923,1.614093885721985,1.0056950690926325,1.2194222375398671
2022-09-08,1.6545706720550493,1.3755942726634676,1.613102820812565,1.0040762619329975,1.2166477571468288
2022-09-09,1.6570162524526275,1.3777583040116246,1.6101923075003601,1.0078392846318496,1.220088968684153
2022-09-12,1.6492669970155849,1.372508270624314,1.5995381219728941,1.0046663097571285,1.2137998163527575
2022-09-13,1.6324336190993216,1.3556378936278748,1.5690337419911669,0.9935397760135444,1.2010158210474497
2022-09-14,1.634566901637345,1.3565408324070556,1.5684756766510752,0.9935826349949011,1.2017245124720066
2022-09-15,1.6270917572003696,1.3497267441388034,1.5641954026653566,0.9976255923806269,1.198717236245143
2022-09-16,1.631504516482817,1.353994661082489,1.5684719850541928,1.0058090556553865,1.2039024932911289
2022-09-19,1.6367233866960211,1.3586953401466872,1.5751416023943228,1.0122304492240777,1.2097904985390513
2022-09-20,1.6564393388670053,1.370088351372583,1.5889289265909852,1.0242306083351642,1.2161271505448648
2022-09-21,1.6647434516540347,1.3789189159620006,1.5983139238274462,1.0274193243582754,1.222928155909725
2022-09-22,1.6640683305671846,1.3797446790917445,1.6013893429222053,1.026751328298231,1.22477005773802
2022-09-23,1.668162627299512,1.3804825248647434,1.600758006091556,1.0246159748342303,1.2195052726312774
2022-09-26,1.6694233835333807,1.3835425179820242,1.6034100716732052,1.0261230725087158,1.2258009654479112
2022-09-27,1.668248184625912,1.383162138647644,1.602553713997888,1.0260921399384466,1.2259493780766548
2022-09-28,1.684610039996058,1.3950734438302348,1.6132871812527356,1.0403504770752547,1.2405114967668331
2022-09-29,1.68708942726548,1.397824551356515,1.6116936505754103,1.0414498845713753,1.2425996880515042
2022-09-30,1.6836023597420513,1.3951683254556415,1.6066159125284327,1.0421866659859138,1.232717815951266
2022-10-03,1.6444315352357555,1.366305440467669,1.5723188534016774,1.0226689614990268,1.21355373844464
2022-10-04,1.6701712199020533,1.3982794771681568,1.5955117919850323,1.0506450077670486,1.2376044424126535
2022-10-05,1.673066308897606,1.4025798719564733,1.600646162502311,1.0552007464944728,1.2418698998810693
2022-10-06,1.676287313831028,1.4009204198542964,1.6017272874677255,1.0558210011641966,1.2413771058445269
2022-10-07,1.680011426686346,1.4049437067472934,1.5995779539289896,1.0531147425248655,1.2389808060536733
2022-10-10,1.679621450976339,1.4031522107067111,1.59634665571426,1.0527654451671695,1.238533047637821
2022-10-11,1.678420302518726,1.4051682546499658,1.5976806336685032,1.048390470313442,1.2370776934014567
2022-10-12,1.6766330466418027,1.4046516726781515,1.597438024262046,1.048339350078632,1.23632543548104
2022-10-13,1.671044009826371,1.4114763216167254,1.5965327893623358,1.0500060312867132,1.2302884114608874
2022-10-14,1.6615523851277256,1.394182010819416,1.589082916283274,1.0387227668574366,1.222858335356724
2022-10-17,1.64237312699777,1.3790588420286665,1.5787083002064568,1.0295433614064637,1.2038986547967012
2022-10-18,1.6476364492064206,1.3833904514636342,1.5833244278394998,1.0321152726267853,1.2058812749246988
2022-10-19,1.6481591223991838,1.3848319474182564,1.5811204134141537,1.0342738922288273,1.2090821857211267
2022-10-20,1.6524762671445246,1.3857303906955174,1.5806439288688072,1.034424329545766,1.2145204445654951
2022-10-21,1.641124083135919,1.375882216469928,1.5780697611203653,1.028070966518909,1.2153828602835521
2022-10-24,1.6427946669423037,1.3766949107498463,1.581815631539299,1.0295463027528342,1.2207646213526597
2022-10-25,1.6392392976039076,1.377107538863117,1.5802058212505155,1.03383704983788,1.2212065850456786
2022-10-26,1.6401594377158182,1.3757094469741071,1.5792200641741763,1.0336521886206018,1.2215491027401244
2022-10-27,1.6387234967486375,1.3737951705234295,1.576291281832476,1.0294490082521341,1.2183545959116546
2022-10-28,1.6231905516738763,1.3685872314148437,1.5686799405695482,1.0296476564308419,1.2189984208824525
2022-10-31,1.6202545940251547,1.3703043461849334,1.5693250057828751,1.0283042241410132,1.218020244707291
2022-11-01,1.6189857198084243,1.369273175599502,1.5680180381697424,1.025188705841105,1.2161191645244367
2022-11-02,1.618008102381876,1.3756941219509242,1.5678864544462303,1.0194989898373263,1.2129982870049394
2022-11-03,1.6092666941819216,1.3722021332315977,1.5644114793378454,1.0146834390706607,1.20719546762381
2022-11-04,1.611251077831181,1.3747639011220893,1.5698843925417663,1.0127986236544224,1.209724097033001
2022-11-07,1.6071329035571518,1.3698850472985507,1.5624739997904216,1.0079513798213648,1.20360332737554
2022-11-08,1.6051034480933193,1.3696161712856594,1.5597181905481985,1.0079755974026532,1.2033198453251495
2022-11-09,1.6001929019770076,1.3608735653719,1.5465391704309064,1.002358600696595,1.2015586306708474
2022-11-10,1.5785759598807587,1.3459494331044741,1.5072658942954793,0.9894062249752126,1.1950335980401132
2022-11-11,1.5754673541157107,1.3434556024392328,1.5062058841705828,0.9858470190814966,1.1943163100923289
2022-11-14,1.5839174929581294,1.3502446157981105,1.512441382486418,0.9897345490217234,1.1999381819284365
2022-11-15,1.5810325066122244,1.349297549039385,1.5101638493924014,0.9919268634387415,1.2002676372852252
2022-11-16,1.5862669379666579,1.353709567477915,1.5134289550019446,0.9957410241150615,1.2051084454925005
2022-11-17,1.5866550170231426,1.3534501829771204,1.5130856618060593,0.9959649594032911,1.2046359588799185
2022-11-18,1.5886148909175435,1.355247259985756,1.5157832608607373,0.9983852400806865,1.2072146872983314
2022-11-21,1.5890162154079224,1.3551910093032202,1.5154451818728867,0.9989598935049316,1.2075658664072004
2022-11-22,1.587016590647953,1.350890536694869,1.5107193953955493,0.999314763990293,1.2021738392495356
2022-11-23,1.5898195225099254,1.350980714406219,1.5101368378474715,1.0005061361714958,1.2024746132216835
2022-11-25,1.5901038881603469,1.3510480994019338,1.510432439394769,1.0006917220670213,1.2025269673541945
2022-11-28,1.575805128941761,1.3344021800808168,1.488787574232318,0.9929281013813736,1.189105075597551
2022-11-29,1.579738775855166,1.3385276933293189,1.4912877436227983,0.997292371041127,1.192016053109676
2022-11-30,1.5725465284037734,1.3349404656765238,1.4777849264247644,0.994471885325711,1.1821874139565267
2022-12-01,1.561095201273167,1.3237530623007063,1.466498636944066,0.9886653079262373,1.1757442856580524
2022-12-02,1.5487376876104353,1.3042920644096065,1.4551033466171537,0.9752299268612458,1.1621701628132812
2022-12-05,1.5325609837339016,1.2956209172080366,1.4376894235616837,0.9696607582816995,1.154504538214287
2022-12-06,1.510885321877426,1.2812476260900503,1.414623788757182,0.96157588113445,1.1468333016658805
2022-12-07,1.5244107564218774,1.293100574042186,1.431550113038896,0.9727010117154415,1.1585582079826988
2022-12-08,1.5223749306281724,1.2871935461399748,1.4235705154228944,0.9704407414697634,1.1554892544001674
2022-12-09,1.5222044430078707,1.2849490190734856,1.4207253932729071,0.9646295895027978,1.1539043936005813
2022-12-12,1.532966113758754,1.29101375082505,1.42631899468204,0.9753194901471234,1.1574951243407825
2022-12-13,1.51881642425126,1.2806136192731246,1.4090658998349321,0.9661052789241237,1.1523764061353725
